"pi.est","pi.est.se","pi.est.05","pi.est.95","N","Diff"
3.4,0.142828568570857,3.12005600560112,3.67994399439888,100,0.258407346410207
3.17333333333333,0.132244442577345,2.91413422588174,3.43253244078493,150,0.0317406797435402
3.06,0.11992497654784,2.82494704596623,3.29505295403377,200,0.0815926535897931
3.232,0.0996428823348662,3.03669995062366,3.42730004937634,250,0.0904073464102071
3.12,0.0956660859448112,2.93249447154817,3.30750552845183,300,0.021592653589793
3.08571428571429,0.0897810748399511,2.90974337902798,3.26168519240059,350,0.0558783678755073
3.1,0.0835164654424503,2.9363077277328,3.2636922722672,400,0.041592653589793
3.20888888888889,0.0751086273239705,3.06167597933391,3.35610179844387,450,0.0672962352990956
3.24,0.0701769192826245,3.10245323820606,3.37754676179394,500,0.0984073464102071
3.19272727272727,0.0684557143227724,3.05855407265464,3.32690047279991,550,0.0511346191374797
3.22666666666667,0.0644888735737787,3.10026847446206,3.35306485887127,600,0.0850740130768735
3.19384615384615,0.0629374703232288,3.07048871201263,3.31720359567968,650,0.0522535002563607
3.21714285714286,0.0599828935769682,3.099576385732,3.33470932855371,700,0.075550203553064
3.09866666666667,0.0610238374796337,2.97905994520658,3.21827338812675,750,0.0429259869231267
3.19,0.0568319892314179,3.07860930110642,3.30139069889358,800,0.0484073464102068
3.18117647058824,0.0553578959278909,3.07267499456957,3.2896779466069,850,0.0395838169984422
3.10222222222222,0.0556287912349902,2.99318979140164,3.2112546530428,900,0.0393704313675709
3.21263157894737,0.0516009450519293,3.11149372664559,3.31376943124915,950,0.0710389253575752
3.168,0.0513398091153444,3.06737397413392,3.26862602586608,1000,0.026407346410207
3.04761904761905,0.0525764235689413,2.94456925742392,3.15066883781417,1050,0.0939736059707457
3.10545454545455,0.050253631690871,3.00695742734044,3.20395166356865,1100,0.0361381081352476
3.04695652173913,0.0502505205821003,2.94846550139821,3.14544754208005,1150,0.0946361318506628
3.17333333333333,0.0467554710603377,3.08169261005507,3.2649740566116,1200,0.0317406797435402
3.1456,0.0463689606525745,3.05471683712095,3.23648316287905,1250,0.00400734641020684
3.16307692307692,0.0451259099290821,3.07463013961592,3.25152370653792,1300,0.02148426948713
3.12296296296296,0.0450428124229929,3.0346790506139,3.21124687531203,1350,0.0186296906268302
3.09428571428571,0.0447416295085317,3.00659212044899,3.18197930812244,1400,0.0473069393040788
3.15310344827586,0.0429141278688139,3.06899175765299,3.23721513889874,1450,0.0115107946860689
3.10133333333333,0.0431050259164666,3.01684748253706,3.18581918412961,1500,0.0402593202564598
3.12774193548387,0.0419538773397575,3.04551233589795,3.2099715350698,1550,0.013850718105922
3.185,0.0402785225026937,3.10605409589472,3.26394590410528,1600,0.0434073464102069
3.12969696969697,0.0406297752934775,3.05006261012175,3.20933132927219,1650,0.0118956838928233
3.12,0.0401877944596293,3.04123192285913,3.19876807714087,1700,0.021592653589793
3.184,0.0385312044229831,3.10847883933095,3.25952116066905,1750,0.042407346410207
3.12888888888889,0.0389130788963129,3.05261925425212,3.20515852352566,1800,0.0127037647009041
3.11351351351351,0.0386256297436482,3.03780727921596,3.18921974781106,1850,0.0280791400762794
3.11578947368421,0.0380789612475495,3.04115470963901,3.19042423772941,1900,0.0258031799055827
3.11179487179487,0.0376482516572347,3.03800429854669,3.18558544504305,1950,0.0297977817949215
3.116,0.0371116154323683,3.04326123375256,3.18873876624744,2000,0.025592653589793
3.1590243902439,0.0359990681642256,3.08846621664202,3.22958256384578,2050,0.0174317366541095
3.20952380952381,0.034758021713357,3.14139808696563,3.27764953208199,2100,0.0679311559340166
3.11255813953488,0.035843421673736,3.04230503305436,3.18281124601541,2150,0.0290345140549095
3.19818181818182,0.0341411530572876,3.13126515818953,3.2650984781741,2200,0.0565891645920251
3.15733333333333,0.0343872040513493,3.08993441339269,3.22473225327398,2250,0.0157406797435402
3.10434782608696,0.0347689008905636,3.03620078034145,3.17249487183246,2300,0.0372448275028368
3.10978723404255,0.0343224527663197,3.04251522662057,3.17705924146454,2350,0.0318054195472399
3.1,0.0340954542424646,3.03317290968477,3.16682709031523,2400,0.041592653589793
3.10204081632653,0.0337185592881655,3.03595244012173,3.16812919253133,2450,0.0395518372632626
3.12,0.0331397042835328,3.05504617960428,3.18495382039572,2500,0.021592653589793
3.16705882352941,0.0321636361617579,3.10401809665237,3.23009955040646,2550,0.0254661699396186
3.21230769230769,0.0311960923290796,3.1511633513427,3.27345203327269,2600,0.070715038717899
3.13509433962264,0.0319879743922538,3.07239790981382,3.19779076943146,2650,0.0064983139671515
3.11259259259259,0.0319845895932313,3.04990279698986,3.17528238819533,2700,0.0290000609972005
3.14909090909091,0.0312153230591797,3.08790887589492,3.2102729422869,2750,0.00749825550111582
3.13,0.0311855048746323,3.06887641044572,3.19112358955428,2800,0.0115926535897932
3.14245614035088,0.0307496624849517,3.08218680188037,3.20272547882138,2850,0.000863486761084165
3.10620689655172,0.0309410245579721,3.0455624884181,3.16685130468535,2900,0.0353857570380689
3.14440677966102,0.0301989623947124,3.08521681336738,3.20359674595465,2950,0.002814126071224
3.136,0.0300527536175972,3.07709660290951,3.19490339709049,3000,0.005592653589793
3.18426229508197,0.0291829886246192,3.12706363737771,3.24146095278622,3050,0.0426696414921741
3.16903225806452,0.029145705042992,3.11190667618025,3.22615783994878,3100,0.0274396044747229
3.13904761904762,0.029290935384989,3.08163738569304,3.1964578524022,3150,0.00254503454217403
3.11,0.0294103510689689,3.05235571190482,3.16764428809518,3200,0.0315926535897932
